+-------------------+------------------------+---------------------------------------------------------+------------------+--------------------------------------------------+-----------------------------------+
| date last updated | planned starting dates |                        Input URL                        | Word count total | time it takes at 200wpm rounded up to 10 minutes | schedule based on 1 hour per week |
+-------------------+------------------------+---------------------------------------------------------+------------------+--------------------------------------------------+-----------------------------------+
|        2018.01.18 |             2018.01.18 | http://eloquentjavascript.net/00_intro.html             |             2849 |                                               20 |                                 1 |
|        2018.01.19 |                        | http://eloquentjavascript.net/01_values.html            |             3191 |                                               20 |                                   |
|        2018.01.22 |                        | http://eloquentjavascript.net/02_program_structure.html |             4945 |                                               30 |                                   |
|        2018.01.24 |             2018.01.25 | http://eloquentjavascript.net/03_functions.html         |             4813 |                                               30 |                                 2 |
|        2018.01.27 |                        | http://eloquentjavascript.net/04_data.html              |             6722 |                                               40 |                                   |
|                   |             2018.02.01 | http://eloquentjavascript.net/05_higher_order.html      |             4961 |                                               30 |                                 3 |
|                   |                        | http://eloquentjavascript.net/06_object.html            |             5527 |                                               30 |                                   |
|                   |             2018.02.08 | http://eloquentjavascript.net/07_elife.html             |             4777 |                                               30 |                                 4 |
|                   |                        | http://eloquentjavascript.net/08_error.html             |             4102 |                                               30 |                                   |
|                   |             2018.02.15 | http://eloquentjavascript.net/09_regexp.html            |             6267 |                                               40 |                                 5 |
|                   |                        | http://eloquentjavascript.net/10_modules.html           |             4845 |                                               30 |                                   |
|                   |             2018.02.22 | http://eloquentjavascript.net/11_language.html          |             3916 |                                               20 |                                 6 |
|                   |                        | http://eloquentjavascript.net/12_browser.html           |             2510 |                                               20 |                                   |
|                   |                        | http://eloquentjavascript.net/13_dom.html               |             5497 |                                               30 |                                   |
|                   |             2018.03.01 | http://eloquentjavascript.net/14_event.html             |             5292 |                                               30 |                                 7 |
|                   |                        | http://eloquentjavascript.net/15_game.html              |             6267 |                                               40 |                                   |
|                   |             2018.03.08 | http://eloquentjavascript.net/16_canvas.html            |             6846 |                                               40 |                                 8 |
|                   |                        | http://eloquentjavascript.net/17_http.html              |             5327 |                                               30 |                                   |
|                   |             2018.03.15 | http://eloquentjavascript.net/18_forms.html             |             4504 |                                               30 |                                 9 |
|                   |                        | http://eloquentjavascript.net/19_paint.html             |             4669 |                                               30 |                                   |
|                   |             2018.03.22 | http://eloquentjavascript.net/20_node.html              |             6735 |                                               40 |                                10 |
|                   |                        | http://eloquentjavascript.net/21_skillsharing.html      |             6266 |                                               40 |                                   |
+-------------------+------------------------+---------------------------------------------------------+------------------+--------------------------------------------------+-----------------------------------+
